,Titulo,Enlace
222,Supuesto 27. Contabilizar inmovilizado,https://www.youtube.com/embed/xcb8BYYXPZI
223,Supuesto 28. Contabilizar amortizacion inmovilizado,https://www.youtube.com/embed/qDBEPky13sg
224,Introduccion a Excel,https://www.youtube.com/embed/DF7-B9lH8f8?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
225,Funciones basicas,https://www.youtube.com/embed/Z08cbegWYmY?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
226,Graficas basicas,https://www.youtube.com/embed/FRVyvZJ0s0c?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
227,Funciones basicas 02,https://www.youtube.com/embed/cheVU3UPWh8?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
228,Formato condicional,https://www.youtube.com/embed/eDSwjcUJpmc?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
229,Operaciones con textos,https://www.youtube.com/embed/d67P0KoaA-A?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
230,Agenda,https://www.youtube.com/embed/-769BROfq8g?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
231,Solver,https://www.youtube.com/embed/ytEJnFH8tEM?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
232,Analisis de hipotesis,https://www.youtube.com/embed/t4vu6HPWuUw?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
233,Conciliacion bancaria,https://www.youtube.com/embed/kfJ-Wp6CcfA?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
234,Tablas dinamicas,https://www.youtube.com/embed/GHH_QrLtjuo?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
235,Graficas dinamicas,https://www.youtube.com/embed/LuMeZQOouPY?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
236,Facturacion,https://www.youtube.com/embed/_H423fMBrT4?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
237,Registro horario,https://www.youtube.com/embed/9Hc74mcdwDs?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
238,Nominas,https://www.youtube.com/embed/9_9N7g22fcg?list=PLhr9YdZStgI1hhFkHBcmMi0IRYOVeQEfK
239,Etiqueta envios,https://www.youtube.com/embed/XkMFu2ljaHc
