,Titulo,Enlace
50,Operadores aritmeticos,https://www.youtube.com/embed/Ep2m_0SnZc8
51,Estadisticos basicos,https://www.youtube.com/embed/q7DdU3qKU-E?list=PLhr9YdZStgI3hxwkIo-M0rVKnNmg-a6Pi
52,Copia arrays,https://www.youtube.com/embed/tPw_FRI9FjU
53,Ordena arrays,https://www.youtube.com/embed/r5DTClfNL7g
54,Ejercicio practico,https://www.youtube.com/embed/5aJjRj1MHHY
55,Ecuaciones lineales,https://www.youtube.com/embed/5e02PaRDQhc?list=PLhr9YdZStgI3hxwkIo-M0rVKnNmg-a6Pi
56,Ejercicios varios,https://www.youtube.com/embed/7n5-nfqkr_Q?list=PLhr9YdZStgI3hxwkIo-M0rVKnNmg-a6Pi
57,"Subconjuntos, indexado",https://www.youtube.com/embed/bQbIg46DoRA?list=PLhr9YdZStgI3hxwkIo-M0rVKnNmg-a6Pi
58,Manipulando arrays,https://www.youtube.com/embed/cv5JtGv8rn0?list=PLhr9YdZStgI3hxwkIo-M0rVKnNmg-a6Pi
59,Toma de contacto,https://www.youtube.com/embed/8F7uzlhyglc?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
60,Series,https://www.youtube.com/embed/1xLnaz30W0Y?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
61,Filtros y operaciones basicas,https://www.youtube.com/embed/IVaKDJyPlU0?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
62,DataFrame,https://www.youtube.com/embed/hi_cbPdWvYY?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
63,Escritura / lectura de datos,https://www.youtube.com/embed/Lpi-t3ncdDM?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
64,Seleccion por indices o columnas,https://www.youtube.com/embed/3ueRHH056pk?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
65,Informacion basica,https://www.youtube.com/embed/AiB3H1vHiwI?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
66,Aplicando funciones,https://www.youtube.com/embed/9PUhvmzJPUw?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
67,Ejercicio practico de series,https://www.youtube.com/embed/Kv4Mpc-8dN4?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
68,Ejercicio practico de DataFrame,https://www.youtube.com/embed/QcuktwtZOJg?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
69,Valores faltantes,https://www.youtube.com/embed/EwAAc1k6OTs?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
70,Trabajando con fechas / horas,https://www.youtube.com/embed/8IRZy-xrKi4?list=PLhr9YdZStgI2HqAE3yz3Yhr8sfzqz7t0V
71,Primera grafica,https://www.youtube.com/embed/XglcvVkDR-c
72,Ejes grafica,https://www.youtube.com/embed/RvNU21hxeUg?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
73,Subplots,https://www.youtube.com/embed/Lt2-XfFsWNg?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
74,Graficas de barras,https://www.youtube.com/embed/ivCPoWSUb4Y?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
75,Graficas de puntos,https://www.youtube.com/embed/SJQuIjSwFLo?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
76,Graficas de tarta,https://www.youtube.com/embed/gYT-BKMCa7s?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
77,Boxplot,https://www.youtube.com/embed/n98WXPzf6KE
78,Mapa de calor,https://www.youtube.com/embed/luEMIscG4mg?list=PLhr9YdZStgI2vXCqHLXJomE0a_tIrvYYK
79,Requisitos necesarios,https://www.youtube.com/embed/EzIRY9q5pX4
80,Carga del dataset,https://www.youtube.com/embed/-p7O_Z9NQds
